city,migros_count,population,coordinates
Murgenthal,1,3044.0,"47.27145, 7.83935"
Vevey,2,15812.0,"46.46299, 6.84345"
Meilen,1,4419.0,"47.27232, 8.64617"
Erstfeld,1,3876.0,"46.81885, 8.65052"
Bière,1,1428.0,"46.53761, 6.33362"
Regensdorf,1,7531.0,"47.4341, 8.46874"
Kreuzlingen,2,17655.0,"47.65051, 9.17504"
Villmergen,1,5489.0,"47.35009, 8.24762"
Sirnach,1,6463.0,"47.46222, 8.99763"
Neuenkirch,1,5963.0,"47.09989, 8.20416"
Spiez,1,12594.0,"46.68473, 7.69111"
Kirchberg BE,1,5335.0,"47.08538, 7.58288"
Bulle,2,23438.0,"46.61797, 7.0569"
Prilly,2,10524.0,"46.53698, 6.60456"
Walenstadt,1,5000.0,"47.12411, 9.31194"
Rümlang,2,5144.0,"47.45041, 8.52993"
Allschwil,3,18189.0,"47.55074, 7.53599"
Lancy,3,27291.0,"46.18981, 6.11441"
Bellinzona,1,16572.0,"46.19278, 9.01703"
Niederurnen,1,3657.0,"47.12598, 9.05428"
Viganello,1,6375.0,"46.01342, 8.96879"
La Tour-de-Trême,2,3686.0,"46.61061, 7.06496"
Tägerwilen,1,3414.0,"47.65698, 9.13999"
Uster,2,23279.0,"47.34713, 8.72091"
Tramelan,1,4186.0,"47.22298, 7.10287"
Rheineck,1,3298.0,"47.4663, 9.59028"
Domdidier,1,2353.0,"46.86716, 7.01337"
Saint Gallen,7,70572.0,"47.42391, 9.37477"
Ebmatingen,1,2278.0,"47.34987, 8.64013"
Schöftland,1,3310.0,"47.3059, 8.05119"
Leytron,1,2194.0,"46.1866, 7.2078"
Neuenhof,1,7957.0,"47.44985, 8.32682"
Bad Ragaz,1,5063.0,"47.00601, 9.50266"
Giubiasco,1,7752.0,"46.17246, 9.00793"
Herisau,2,15438.0,"47.38615, 9.27916"
Riehen,3,20000.0,"47.57884, 7.64683"
Zollikofen,1,9121.0,"46.99905, 7.45809"
Puidoux,1,2398.0,"46.50093, 6.78249"
Samedan,1,2700.0,"46.53399, 9.87276"
Schlieren,3,12695.0,"47.39668, 8.44763"
Montreux,1,25984.0,"46.43301, 6.91143"
Sierre,2,15752.0,"46.29192, 7.53559"
Ruswil,1,6432.0,"47.08425, 8.12645"
Aubonne,1,2703.0,"46.49514, 6.39155"
Arlesheim,1,9301.0,"47.49412, 7.61979"
Echallens,1,4972.0,"46.6413, 6.63317"
Rorschach,2,9000.0,"47.478, 9.4903"
Wallisellen,3,11705.0,"47.41499, 8.59672"
Wald ZH,1,3061.0,"47.27595, 8.91405"
Dübendorf,3,19882.0,"47.39724, 8.61872"
Olten,2,16411.0,"47.34999, 7.90329"
Lenzburg,2,7392.0,"47.38853, 8.17503"
Wetzikon ZH,2,24764.0,"47.3264, 8.79779"
Unterkulm,1,3099.0,"47.30998, 8.11371"
Ecublens VD,1,10262.0,"46.52899, 6.56261"
Root,1,3886.0,"47.11458, 8.39021"
